GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Proceso-y-SW-de-calidad,backend.dao,DAO,316,0,12,0,76,0,13,0,7,0
Proceso-y-SW-de-calidad,backend.gateway,Gateway,376,0,12,0,65,0,13,0,7,0
Proceso-y-SW-de-calidad,backend.app_service,AppService,91,0,0,0,32,0,5,0,5,0
Proceso-y-SW-de-calidad,backend.fichero,LeerFichero,39,0,2,0,10,0,3,0,2,0
Proceso-y-SW-de-calidad,backend.objects,Pelicula,1860,0,289,0,40,0,280,0,110,0
Proceso-y-SW-de-calidad,backend.objects,Genero,651,0,94,0,5,0,99,0,49,0
Proceso-y-SW-de-calidad,frontend.swing,Login.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,Login.new ActionListener() {...},39,0,2,0,10,0,3,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,Login.new WindowAdapter() {...},22,0,2,0,5,0,3,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaPrincipal.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaPrincipal.new ActionListener() {...},24,0,0,0,6,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaPrincipal.new WindowAdapter() {...},22,0,2,0,5,0,3,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,Registro,308,0,6,0,66,0,10,0,7,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaAdministrador,217,0,0,0,42,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaUsuario,24,0,0,0,8,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaPrincipal,183,0,0,0,41,0,5,0,5,0
Proceso-y-SW-de-calidad,frontend.swing,Registro.new WindowAdapter() {...},22,0,2,0,5,0,3,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,Principal,32,0,0,0,10,0,4,0,4,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaAdministrador.new ActionListener() {...},22,0,0,0,5,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaAdministrador.new WindowAdapter() {...},22,0,2,0,5,0,3,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,Registro.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,Registro.new ActionListener() {...},99,0,6,0,19,0,5,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,VentanaAdministrador.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.swing,Login,388,0,8,0,70,0,9,0,5,0
Proceso-y-SW-de-calidad,backend.objects.personas,Administrador,133,0,12,0,4,0,20,0,14,0
Proceso-y-SW-de-calidad,backend.objects.personas,Usuario,249,0,32,0,9,0,35,0,19,0
Proceso-y-SW-de-calidad,backend.objects.personas,Persona,578,0,85,0,12,0,89,0,45,0
Proceso-y-SW-de-calidad,backend.remote,Facade,134,0,4,0,32,0,8,0,6,0
Proceso-y-SW-de-calidad,common.properties,PropertyManager,94,0,0,0,22,0,3,0,3,0
Proceso-y-SW-de-calidad,common.properties,AppPropertyManager,7,0,0,0,3,0,2,0,2,0
Proceso-y-SW-de-calidad,frontend.controller,Controller,74,0,0,0,20,0,7,0,7,0
Proceso-y-SW-de-calidad,frontend.remote,RMIServiceLocator,56,0,0,0,12,0,3,0,3,0
